name,fileName,emotion,episode
100years,cropped_52,fear,epi7
100years,cropped_53,happy,epi7
100years,cropped_54,surprise,epi7
100years,cropped_55,angry,epi7
100years,cropped_56,happy,epi7
100years,cropped_57,sad,epi7
100years,cropped_58,happy,epi7
100years,cropped_59,angry,epi7
100years,cropped_6,None,epi7
100years,cropped_60,angry,epi7
100years,cropped_61,happy,epi7
100years,cropped_62,sad,epi7
100years,cropped_63,sad,epi7
100years,cropped_64,sad,epi7
100years,cropped_65,surprise,epi7
100years,cropped_66,fear,epi7
100years,cropped_67,fear,epi7
100years,cropped_68,None,epi7
100years,cropped_69,fear,epi7
100years,cropped_7,sad,epi7
100years,cropped_70,angry,epi7
100years,cropped_71,fear,epi7
100years,cropped_72,happy,epi7
100years,cropped_73,None,epi7
100years,cropped_74,angry,epi7
100years,cropped_75,sad,epi7
100years,cropped_76,sad,epi7
100years,cropped_77,sad,epi7
100years,cropped_78,happy,epi7
100years,cropped_79,sad,epi7
100years,cropped_8,sad,epi7
100years,cropped_80,sad,epi7
100years,cropped_81,sad,epi7
100years,cropped_82,disgust,epi7
100years,cropped_83,sad,epi7
100years,cropped_84,sad,epi7
100years,cropped_85,sad,epi7
100years,cropped_86,happy,epi7
100years,cropped_87,sad,epi7
100years,cropped_88,happy,epi7
100years,cropped_89,fear,epi7
100years,cropped_9,sad,epi7
100years,cropped_90,fear,epi7
100years,cropped_91,sad,epi7
100years,cropped_92,sad,epi7
100years,cropped_93,fear,epi7
100years,cropped_94,happy,epi7
100years,cropped_95,happy,epi7
100years,cropped_96,surprise,epi7
100years,cropped_97,happy,epi7
100years,cropped_98,sad,epi7
100years,cropped_99,angry,epi7
100years,cropped_1,None,epi9
100years,cropped_10,fear,epi9
100years,cropped_100,fear,epi9
100years,cropped_11,None,epi9
100years,cropped_12,fear,epi9
100years,cropped_13,angry,epi9
100years,cropped_14,fear,epi9
100years,cropped_15,None,epi9
100years,cropped_16,fear,epi9
100years,cropped_17,sad,epi9
100years,cropped_18,happy,epi9
100years,cropped_19,surprise,epi9
100years,cropped_2,sad,epi9
100years,cropped_20,sad,epi9
100years,cropped_21,surprise,epi9
100years,cropped_22,sad,epi9
100years,cropped_23,sad,epi9
100years,cropped_24,sad,epi9
100years,cropped_25,happy,epi9
100years,cropped_26,None,epi9
100years,cropped_27,happy,epi9
100years,cropped_28,sad,epi9
100years,cropped_29,happy,epi9
100years,cropped_3,fear,epi9
100years,cropped_30,sad,epi9
100years,cropped_31,surprise,epi9
100years,cropped_32,fear,epi9
100years,cropped_33,sad,epi9
100years,cropped_34,None,epi9
100years,cropped_35,sad,epi9
100years,cropped_36,None,epi9
100years,cropped_37,None,epi9
100years,cropped_38,sad,epi9
100years,cropped_39,fear,epi9
100years,cropped_4,sad,epi9
100years,cropped_40,sad,epi9
100years,cropped_41,surprise,epi9
100years,cropped_42,sad,epi9
100years,cropped_43,sad,epi9
100years,cropped_44,sad,epi9
100years,cropped_45,angry,epi9
100years,cropped_46,disgust,epi9
100years,cropped_47,sad,epi9
100years,cropped_48,fear,epi9
100years,cropped_49,happy,epi9
100years,cropped_5,sad,epi9
100years,cropped_50,sad,epi9
100years,cropped_51,sad,epi9
100years,cropped_52,happy,epi9
100years,cropped_53,None,epi9
100years,cropped_54,sad,epi9
100years,cropped_55,fear,epi9
100years,cropped_56,surprise,epi9
100years,cropped_57,fear,epi9
100years,cropped_58,sad,epi9
100years,cropped_59,sad,epi9
100years,cropped_6,sad,epi9
100years,cropped_60,happy,epi9
100years,cropped_61,sad,epi9
100years,cropped_62,None,epi9
100years,cropped_63,sad,epi9
100years,cropped_64,sad,epi9
100years,cropped_65,sad,epi9
100years,cropped_66,sad,epi9
100years,cropped_67,sad,epi9
100years,cropped_68,None,epi9
100years,cropped_69,None,epi9
100years,cropped_7,sad,epi9
100years,cropped_70,sad,epi9
100years,cropped_71,sad,epi9
100years,cropped_72,fear,epi9
100years,cropped_73,surprise,epi9
100years,cropped_74,happy,epi9
100years,cropped_75,sad,epi9
100years,cropped_76,happy,epi9
100years,cropped_77,None,epi9
100years,cropped_78,None,epi9
100years,cropped_79,None,epi9
100years,cropped_8,happy,epi9
100years,cropped_80,sad,epi9
100years,cropped_81,happy,epi9
